user_id,item_id,category_id,event_type,timestamp
1,2268318,2520377,view,1511544070
1,2333346,2520771,view,1511561733
1,2576651,149192,view,1511572885
1,3830808,4181361,view,1511593493
1,4365585,2520377,view,1511596146
1,4606018,2735466,view,1511616481
1,230380,411153,view,1511644942
1,3827899,2920476,view,1511713473
1,3745169,2891509,view,1511725471
1,1531036,2920476,view,1511733732
1,2266567,4145813,view,1511741471
1,2951368,1080785,view,1511750828
1,3108797,2355072,view,1511758881
1,1338525,149192,view,1511773214
1,2286574,2465336,view,1511797167
1,5002615,2520377,view,1511839385
1,2734026,4145813,view,1511842184
1,5002615,2520377,view,1511844273
1,3239041,2355072,view,1511855664
1,4615417,4145813,view,1511870864
1,4152983,2355072,view,1511871096
1,266784,2520771,view,1511884553
1,46259,149192,view,1511892772
1,266784,2520771,view,1511909676
1,4092065,2355072,view,1511910242
1,1305059,2520771,view,1511911930
1,2791761,2355072,view,1511914689
1,3239041,2355072,view,1511939239
1,46259,149192,view,1511940971
1,4973305,2520771,view,1511969365
1,2087357,2131531,view,1511975142
1,3157558,2520771,view,1511984943
1,2087357,2131531,view,1512004568
1,4170517,149192,view,1512011019
1,1340922,4690421,view,1512041260
1,3911125,982926,view,1512044958
1,4170517,149192,view,1512049438
1,3682069,4690421,view,1512059832
1,4954999,411153,view,1512061318
1,79715,2355072,view,1512064350
1,4666650,4756105,view,1512084223
1,1323189,3524510,view,1512149435
1,4198227,1320293,view,1512149929
1,4954999,411153,view,1512172732
1,2041056,4801426,view,1512187543
1,3219016,3002561,view,1512190033
1,2104483,4756105,view,1512194830
1,2028434,4801426,view,1512224248
1,3219016,3002561,view,1512244023
1,2278603,3002561,view,1512251522
1,929177,4801426,view,1512252443
1,4954999,411153,view,1512264993
1,818610,411153,view,1512268502
1,271696,411153,view,1512272591
1,568695,1320293,view,1512281847
100,4572582,2188684,view,1511550516
100,2971043,4869428,view,1511550600
100,2379198,4869428,view,1511550806
100,2971043,4869428,view,1511550885
100,1220136,4869428,view,1511550908
100,2518420,3425094,view,1511551443
100,3763048,3425094,view,1511551450
100,2518420,3425094,view,1511551495
100,1953042,3425094,view,1511551619
100,3763048,3425094,fav,1511551860
100,5100093,2945933,view,1511552352
100,704268,223690,view,1511563606
100,4115850,223690,fav,1511563834
100,2379198,4869428,view,1511564961
